SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,FacultyAttendance
Port Norris Middle School,11,950,50,CUMBERLAND,COMMERCIAL TWP,94
Cumberland County Technical Education Center,11,995,30,CUMBERLAND,CUMBERLAND CO VOCATIONAL,96
Cumberland Regional High School,11,997,30,CUMBERLAND,CUMBERLAND REGIONAL,97
DEERFIELD TOWNSHIP SCHOOL,11,1020,40,CUMBERLAND,DEERFIELD TWP,97
Downe Township Elementary School,11,1120,45,CUMBERLAND,DOWNE TWP,97
Fairfield Township School,11,1460,70,CUMBERLAND,FAIRFIELD TWP,98
MORRIS GOODWIN SCHOOL,11,1820,60,CUMBERLAND,GREENWICH TWP,96
Hopewell Crest,11,2270,60,CUMBERLAND,HOPEWELL TWP,0
Myron L. Powell Elementary School,11,2570,30,CUMBERLAND,LAWRENCE TWP,96
MAURICE RIVER TOWNSHIP SCHOOL,11,3050,65,CUMBERLAND,MAURICE RIVER TWP,89
MILLVILLE SENIOR HIGH SCHOOL,11,3230,50,CUMBERLAND,MILLVILLE CITY,95
MEMORIAL HIGH SCHOOL,11,3230,60,CUMBERLAND,MILLVILLE CITY,95
R. M. BACON ELEMENTARY SCHOOL,11,3230,65,CUMBERLAND,MILLVILLE CITY,95
CHILD FAMILY CENTER,11,3230,68,CUMBERLAND,MILLVILLE CITY,95
HOLLY HEIGHTS ELEMENTARY SCHOOL,11,3230,75,CUMBERLAND,MILLVILLE CITY,95
LAKESIDE MIDDLE SCHOOL,11,3230,77,CUMBERLAND,MILLVILLE CITY,94
MOUNT PLEASANT ELEMENTARY SCHOOL,11,3230,80,CUMBERLAND,MILLVILLE CITY,94
RIECK AVENUE ELEMENTARY SCHOOL,11,3230,85,CUMBERLAND,MILLVILLE CITY,95
R. D. WOOD ELEMENTARY SCHOOL,11,3230,90,CUMBERLAND,MILLVILLE CITY,95
SILVER RUN ELEMENTARY SCHOOL,11,3230,100,CUMBERLAND,MILLVILLE CITY,96
STOW CREEK TOWNSHIP,11,5070,50,CUMBERLAND,STOW CREEK TWP,97
Charles F. Seabrook School,11,5300,50,CUMBERLAND,UPPER DEERFIELD TWP,91
Elizabeth F. Moore School,11,5300,60,CUMBERLAND,UPPER DEERFIELD TWP,90
Woodruff Middle School,11,5300,70,CUMBERLAND,UPPER DEERFIELD TWP,91
Vineland Senior High School,11,5390,50,CUMBERLAND,VINELAND CITY,96
Landis Middle School,11,5390,55,CUMBERLAND,VINELAND CITY,97
Veterans Memorial Middle,11,5390,60,CUMBERLAND,VINELAND CITY,96
Anthony Rossi Middle School,11,5390,65,CUMBERLAND,VINELAND CITY,97
Gloria M Sabater Elementary School,11,5390,75,CUMBERLAND,VINELAND CITY,96
Dane Barse Elementary School,11,5390,95,CUMBERLAND,VINELAND CITY,97
John H. Winslow Elementary School,11,5390,115,CUMBERLAND,VINELAND CITY,97
Johnstone Elementary School,11,5390,120,CUMBERLAND,VINELAND CITY,97
Marie Durand Elementary School,11,5390,135,CUMBERLAND,VINELAND CITY,97
Max Leuchter,11,5390,160,CUMBERLAND,VINELAND CITY,97
Casimer M. Dallago Jr. Impact Center,11,5390,176,CUMBERLAND,VINELAND CITY,96
Solve D'Ippolito Elementary School,11,5390,230,CUMBERLAND,VINELAND CITY,97
Dr. William Mennies Elementary School,11,5390,260,CUMBERLAND,VINELAND CITY,96
Pauline J. Petway Elementary School,11,5390,270,CUMBERLAND,VINELAND CITY,97
Thomas W. Wallace Jr. Middle School,11,5390,280,CUMBERLAND,VINELAND CITY,96
Almond Road Preschool,11,5390,300,CUMBERLAND,VINELAND CITY,97
Belleville High School,13,250,20,ESSEX,BELLEVILLE TOWN,98
Belleville Middle School,13,250,25,ESSEX,BELLEVILLE TOWN,98
Belleville PS3,13,250,50,ESSEX,BELLEVILLE TOWN,98
Belleville PS4,13,250,55,ESSEX,BELLEVILLE TOWN,98
Belleville PS5,13,250,60,ESSEX,BELLEVILLE TOWN,99
Belleville PS7,13,250,70,ESSEX,BELLEVILLE TOWN,98
Belleville PS8,13,250,80,ESSEX,BELLEVILLE TOWN,98
Belleville PS9,13,250,90,ESSEX,BELLEVILLE TOWN,96
Belleville PS10,13,250,100,ESSEX,BELLEVILLE TOWN,86
BLOOMFIELD HIGH SCHOOL,13,410,20,ESSEX,BLOOMFIELD TWP,97
BLOOMFIELD MIDDLE SCHOOL,13,410,30,ESSEX,BLOOMFIELD TWP,95
BERKELEY ELEMENTARY,13,410,50,ESSEX,BLOOMFIELD TWP,93
BROOKDALE ELEMENTARY,13,410,60,ESSEX,BLOOMFIELD TWP,96
CARTERET ELEMENTARY,13,410,80,ESSEX,BLOOMFIELD TWP,95
DEMAREST ELEMENTARY,13,410,100,ESSEX,BLOOMFIELD TWP,97
FAIRVIEW ELEMENTARY,13,410,110,ESSEX,BLOOMFIELD TWP,96
The Early Childhood Center @ Forest Glen,13,410,120,ESSEX,BLOOMFIELD TWP,100
FRANKLIN ELEMENTARY,13,410,130,ESSEX,BLOOMFIELD TWP,92
OAK VIEW ELEMENTARY,13,410,140,ESSEX,BLOOMFIELD TWP,98
WATSESSING ELEMENTARY,13,410,150,ESSEX,BLOOMFIELD TWP,95
JAMES CALDWELL HIGH SCHOOL,13,660,50,ESSEX,CALDWELL-WEST CALDWELL,97
GROVER CLEVELAND MIDDLE SCHOOL,13,660,60,ESSEX,CALDWELL-WEST CALDWELL,98
JEFFERSON ELEMENTARY SCHOOL,13,660,70,ESSEX,CALDWELL-WEST CALDWELL,98
LINCOLN ELEMENTARY SCHOOL,13,660,80,ESSEX,CALDWELL-WEST CALDWELL,98
WASHINGTON ELEMENTARY SCHOOL,13,660,110,ESSEX,CALDWELL-WEST CALDWELL,97
WILSON ELEMENTARY SCHOOL,13,660,120,ESSEX,CALDWELL-WEST CALDWELL,97
CEDAR GROVE HIGH SCHOOL,13,760,50,ESSEX,CEDAR GROVE TWP,98
MEMORIAL MIDDLE SCHOOL,13,760,58,ESSEX,CEDAR GROVE TWP,98
NORTH END ELEMENTARY,13,760,60,ESSEX,CEDAR GROVE TWP,98
SOUTH END ELEMENTARY SCHOOL,13,760,90,ESSEX,CEDAR GROVE TWP,98
East Orange STEM Academy High School,13,1210,30,ESSEX,EAST ORANGE,91
East Orange Campus High School,13,1210,35,ESSEX,EAST ORANGE,94
Edward T. Bowser Sr. School of Excellence,13,1210,50,ESSEX,EAST ORANGE,93
George Washington Carver Institute,13,1210,60,ESSEX,EAST ORANGE,94
John L. Costley Middle School,13,1210,70,ESSEX,EAST ORANGE,95
Langston Hughes Elementary School,13,1210,80,ESSEX,EAST ORANGE,93
Whitney E. Houston Academy,13,1210,90,ESSEX,EAST ORANGE,91
Benjamin Banneker Academy,13,1210,93,ESSEX,EAST ORANGE,94
Patrick F. Healy Middle School,13,1210,95,ESSEX,EAST ORANGE,94
Mildred Barry Garvin Elementary,13,1210,100,ESSEX,EAST ORANGE,91
Althea Gibson Academy,13,1210,107,ESSEX,EAST ORANGE,96
Dionne Warwick Institute,13,1210,110,ESSEX,EAST ORANGE,93
Ecole Toussaint Louverture,13,1210,120,ESSEX,EAST ORANGE,93
Gordon Parks Academy,13,1210,130,ESSEX,EAST ORANGE,92
Sojourner Truth Middle School,13,1210,135,ESSEX,EAST ORANGE,93
Cicely L. Tyson Community Elementary School,13,1210,140,ESSEX,EAST ORANGE,94
Cicely L. Tyson Community Middle/High School,13,1210,150,ESSEX,EAST ORANGE,93
J. Garfield Jackson Sr. Academy,13,1210,170,ESSEX,EAST ORANGE,97
Johnnie L. Cochran Jr. Academy,13,1210,190,ESSEX,EAST ORANGE,91
Wahlstrom Early Childhood Academy,13,1210,210,ESSEX,EAST ORANGE,94
Bloomfield Tech,13,1390,20,ESSEX,ESSEX CO VOC-TECH,97
North 13th St Tech,13,1390,50,ESSEX,ESSEX CO VOC-TECH,97
Newark Tech,13,1390,70,ESSEX,ESSEX CO VOC-TECH,97
West Caldwell Tech,13,1390,80,ESSEX,ESSEX CO VOC-TECH,97
Essex Fells Elementary School,13,1400,50,ESSEX,ESSEX FELLS BORO,98
Adlai E. Stevenson,13,1465,5,ESSEX,FAIRFIELD TWP,97
Churchill,13,1465,30,ESSEX,FAIRFIELD TWP,95
Glen Ridge High School,13,1750,50,ESSEX,GLEN RIDGE BORO,95
Forest Avenue School,13,1750,70,ESSEX,GLEN RIDGE BORO,95
Ridgewood Avenue School,13,1750,75,ESSEX,GLEN RIDGE BORO,97
Linden Avenue School,13,1750,80,ESSEX,GLEN RIDGE BORO,96
IRVINGTON HIGH SCHOOL,13,2330,50,ESSEX,IRVINGTON TOWNSHIP,97
AUGUSTA PRESCHOOL ACADEMY,13,2330,71,ESSEX,IRVINGTON TOWNSHIP,97
BERKELEY TERRACE,13,2330,80,ESSEX,IRVINGTON TOWNSHIP,97
CHANCELLOR AVENUE SCHOOL,13,2330,90,ESSEX,IRVINGTON TOWNSHIP,96
FLORENCE AVENUE SCHOOL,13,2330,100,ESSEX,IRVINGTON TOWNSHIP,97
GROVE STREET SCHOOL,13,2330,110,ESSEX,IRVINGTON TOWNSHIP,98
MADISON AT CHANCELLOR SOUTH,13,2330,120,ESSEX,IRVINGTON TOWNSHIP,96
THURGOOD MARSHALL SCHOOL,13,2330,125,ESSEX,IRVINGTON TOWNSHIP,97
MT. VERNON AVENUE SCHOOL,13,2330,131,ESSEX,IRVINGTON TOWNSHIP,97
UNIVERSITY MIDDLE SCHOOL,13,2330,135,ESSEX,IRVINGTON TOWNSHIP,96
UNIVERSITY ELEMENTARY SCHOOL,13,2330,136,ESSEX,IRVINGTON TOWNSHIP,96
UNION AVENUE MIDDLE SCHOOL,13,2330,140,ESSEX,IRVINGTON TOWNSHIP,97
Livingston High School,13,2730,50,ESSEX,LIVINGSTON TWP,98
Heritage Middle School,13,2730,55,ESSEX,LIVINGSTON TWP,98
Mount Pleasant Middle School,13,2730,60,ESSEX,LIVINGSTON TWP,98
Burnet Hill Elementary School,13,2730,70,ESSEX,LIVINGSTON TWP,98
Collins Elementary School,13,2730,80,ESSEX,LIVINGSTON TWP,98
Harrison Elementary School,13,2730,90,ESSEX,LIVINGSTON TWP,98
Hillside Elementary School,13,2730,100,ESSEX,LIVINGSTON TWP,98
Mount Pleasant Elementary School,13,2730,110,ESSEX,LIVINGSTON TWP,98
Riker Hill Elementary School,13,2730,118,ESSEX,LIVINGSTON TWP,98
Millburn High School,13,3190,50,ESSEX,MILLBURN TWP,97
Millburn Middle School,13,3190,60,ESSEX,MILLBURN TWP,95
Deerfield School,13,3190,65,ESSEX,MILLBURN TWP,97
Glenwood School,13,3190,70,ESSEX,MILLBURN TWP,97
Hartshorn School,13,3190,80,ESSEX,MILLBURN TWP,11
South Mountain School,13,3190,100,ESSEX,MILLBURN TWP,94
Wyoming School,13,3190,120,ESSEX,MILLBURN TWP,96
Montclair High School,13,3310,50,ESSEX,MONTCLAIR TOWN,94
Charles H. Bullock School,13,3310,60,ESSEX,MONTCLAIR TOWN,94
Bradford Elementary School,13,3310,100,ESSEX,MONTCLAIR TOWN,94
Edgemont Elementary School,13,3310,110,ESSEX,MONTCLAIR TOWN,95
Glenfield Middle School,13,3310,116,ESSEX,MONTCLAIR TOWN,94
Hillside Elementary School,13,3310,123,ESSEX,MONTCLAIR TOWN,95
Mt. Hebron Middle School,13,3310,127,ESSEX,MONTCLAIR TOWN,95
Nishuane Elementary School,13,3310,130,ESSEX,MONTCLAIR TOWN,95
Northeast Elementary School,13,3310,140,ESSEX,MONTCLAIR TOWN,94
Renaissance Middle School at the Rand Building,13,3310,165,ESSEX,MONTCLAIR TOWN,93
Watchung Elementary School,13,3310,170,ESSEX,MONTCLAIR TOWN,94
N J REGIONAL DAY SCHOOL - NEWARK,13,3570,4,ESSEX,NEWARK CITY,0
ARTS HIGH SCHOOL,13,3570,10,ESSEX,NEWARK CITY,0
BARRINGER ARTS HIGH SCHOOL,13,3570,20,ESSEX,NEWARK CITY,0
CENTRAL HIGH SCHOOL,13,3570,30,ESSEX,NEWARK CITY,0
EAST SIDE HIGH SCHOOL,13,3570,40,ESSEX,NEWARK CITY,0
NEWARK VOCATIONAL HIGH SCHOOL,13,3570,45,ESSEX,NEWARK CITY,0
MALCOLM X SHABAZZ HIGH SCHOOL,13,3570,50,ESSEX,NEWARK CITY,0
SCIENCE PARK HIGH SCHOOL,13,3570,55,ESSEX,NEWARK CITY,0
Technology High School,13,3570,56,ESSEX,NEWARK CITY,0
UNIVERSITY HIGH SCHOOL,13,3570,57,ESSEX,NEWARK CITY,0
WEEQUAHIC HIGH SCHOOL,13,3570,70,ESSEX,NEWARK CITY,0
American History High School,13,3570,87,ESSEX,NEWARK CITY,0
ABINGTON AVENUE SCHOOL,13,3570,170,ESSEX,NEWARK CITY,0
ANN STREET SCHOOL,13,3570,200,ESSEX,NEWARK CITY,0
AVON AVENUE SCHOOL,13,3570,220,ESSEX,NEWARK CITY,0
BELMONT RUNYON ELEMENTARY SCHOOL,13,3570,225,ESSEX,NEWARK CITY,0
BRANCH BROOK SCHOOL,13,3570,270,ESSEX,NEWARK CITY,0
BRUCE STREET SCHOOL FOR THE DEAF,13,3570,290,ESSEX,NEWARK CITY,0
LUIS MUNOZ MARIN ELEMENTARY SCHOOL,13,3570,301,ESSEX,NEWARK CITY,0
BARD EARLY COLLEGE HIGH SCHOOL,13,3570,304,ESSEX,NEWARK CITY,0
EARLY CHILDHOOD ACADEMY - SOUTH,13,3570,306,ESSEX,NEWARK CITY,0
Eagle Academy for Young Men of Newark,13,3570,307,ESSEX,NEWARK CITY,0
Early Childhood Academy - West,13,3570,308,ESSEX,NEWARK CITY,0
Newark Early College High School,13,3570,309,ESSEX,NEWARK CITY,0
CAMDEN STREET ELEMENTARY SCHOOL,13,3570,310,ESSEX,NEWARK CITY,0
GIRLS ACADEMY OF NEWARK,13,3570,311,ESSEX,NEWARK CITY,0
Barringer Academy of S.T.E.A.M.,13,3570,312,ESSEX,NEWARK CITY,0
EARLY CHILDHOOD ACADEMY - BERLINER,13,3570,314,ESSEX,NEWARK CITY,0
Early Childhood Academy - Gladys Hillman Jones,13,3570,316,ESSEX,NEWARK CITY,0
CHANCELLOR AVENUE SCHOOL,13,3570,330,ESSEX,NEWARK CITY,0
CLEVELAND Eighteenth Avenue School,13,3570,350,ESSEX,NEWARK CITY,0
PESHINE AVENUE SCHOOL,13,3570,370,ESSEX,NEWARK CITY,0
ELLIOTT STREET ELEMENTARY SCHOOL,13,3570,390,ESSEX,NEWARK CITY,0
FIRST AVENUE SCHOOL,13,3570,410,ESSEX,NEWARK CITY,0
Dr. E. ALMA FLAGG SCHOOL,13,3570,415,ESSEX,NEWARK CITY,0
FOURTEENTH AVENUE SCHOOL,13,3570,420,ESSEX,NEWARK CITY,0
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,13,3570,430,ESSEX,NEWARK CITY,0
GEORGE WASHINGTON CARVER ELEMENTARY SCHOOL,13,3570,435,ESSEX,NEWARK CITY,0
DR WILLIAM H HORTON ELEMENTARY SCHOOL,13,3570,440,ESSEX,NEWARK CITY,0
HARRIET TUBMAN ELEMENTARY SCHOOL,13,3570,455,ESSEX,NEWARK CITY,0
HAWKINS STREET SCHOOL,13,3570,460,ESSEX,NEWARK CITY,0
HAWTHORNE AVENUE SCHOOL,13,3570,470,ESSEX,NEWARK CITY,0
JOHN F KENNEDY SCHOOL,13,3570,477,ESSEX,NEWARK CITY,0
LAFAYETTE STREET SCHOOL,13,3570,480,ESSEX,NEWARK CITY,0
LINCOLN,13,3570,490,ESSEX,NEWARK CITY,0
LOUISE A SPENCER ELEMENTARY SCHOOL,13,3570,495,ESSEX,NEWARK CITY,0
MCKINLEY,13,3570,520,ESSEX,NEWARK CITY,0
MILLER STREET SCHOOL AT SPENCER,13,3570,530,ESSEX,NEWARK CITY,0
IVY HILL ELEMENTARY SCHOOL,13,3570,565,ESSEX,NEWARK CITY,0
MT VERNON PLACE SCHOOL,13,3570,570,ESSEX,NEWARK CITY,0
RAFAEL HERNANDEZ SCHOOL,13,3570,575,ESSEX,NEWARK CITY,0
PARK ELEMENTARY SCHOOL,13,3570,581,ESSEX,NEWARK CITY,0
OLIVER STREET SCHOOL,13,3570,590,ESSEX,NEWARK CITY,0
QUITMAN COMMUNITY SCHOOL,13,3570,605,ESSEX,NEWARK CITY,0
RIDGE STREET SCHOOL,13,3570,610,ESSEX,NEWARK CITY,0
ROBERTO CLEMENTE ELEMENTARY SCHOOL,13,3570,615,ESSEX,NEWARK CITY,0
SOUTH STREET ELEMENTARY SCHOOL,13,3570,640,ESSEX,NEWARK CITY,0
SOUTH SEVENTEENTH STREET SCHOOL,13,3570,670,ESSEX,NEWARK CITY,0
SPEEDWAY AVENUE SCHOOL,13,3570,690,ESSEX,NEWARK CITY,0
SUSSEX AVENUE SCHOOL Burnet Street  School,13,3570,710,ESSEX,NEWARK CITY,0
THIRTEENTH AVENUE SCHOOL MARTIN LUTHER KING,13,3570,715,ESSEX,NEWARK CITY,0
WILSON AVENUE SCHOOL,13,3570,750,ESSEX,NEWARK CITY,0
Gould/Mountain Elementary School,13,3630,50,ESSEX,NORTH CALDWELL BORO,99
Grandview Elementary School,13,3630,60,ESSEX,NORTH CALDWELL BORO,98
NUTLEY HIGH SCHOOL,13,3750,50,ESSEX,NUTLEY TOWN,96
JOHN H. WALKER MIDDLE SCHOOL,13,3750,60,ESSEX,NUTLEY TOWN,97
LINCOLN SCHOOL,13,3750,70,ESSEX,NUTLEY TOWN,97
Radcliffe School,13,3750,80,ESSEX,NUTLEY TOWN,96
Spring Garden School,13,3750,90,ESSEX,NUTLEY TOWN,96
WASHINGTON SCHOOL,13,3750,100,ESSEX,NUTLEY TOWN,97
YANTACAW SCHOOL,13,3750,110,ESSEX,NUTLEY TOWN,96
ORANGE HIGH SCHOOL,13,3880,50,ESSEX,CITY OF ORANGE TWP,97
CLEVELAND STREET ELEMENTARY SCHOOL,13,3880,70,ESSEX,CITY OF ORANGE TWP,97
FOREST STREET ELEMENTARY SCHOOL,13,3880,80,ESSEX,CITY OF ORANGE TWP,97
HEYWOOD AVENUE ELEMENTARY SCHOOL,13,3880,90,ESSEX,CITY OF ORANGE TWP,97
LINCOLN AVENUE ELEMENTARY SCHOOL,13,3880,100,ESSEX,CITY OF ORANGE TWP,97
ROSA PARKS/CENTRAL COMMUNITY SCHOOL,13,3880,105,ESSEX,CITY OF ORANGE TWP,97
OAKWOOD AVENUE ELEMENTARY SCHOOL,13,3880,110,ESSEX,CITY OF ORANGE TWP,97
ORANGE PREPARATORY ACADEMY,13,3880,115,ESSEX,CITY OF ORANGE TWP,97
PARK AVENUE ELEMENTARY SCHOOL,13,3880,120,ESSEX,CITY OF ORANGE TWP,97
Orange Early Childhood Center,13,3880,300,ESSEX,CITY OF ORANGE TWP,97
Lester C Noecker,13,4530,20,ESSEX,ROSELAND BORO,98
Columbia High School,13,4900,30,ESSEX,SOUTH ORANGE-MAPLEWOOD,98
Maplewood Middle School,13,4900,40,ESSEX,SOUTH ORANGE-MAPLEWOOD,98
South Orange Middle School,13,4900,50,ESSEX,SOUTH ORANGE-MAPLEWOOD,98
Clinton Elementary School,13,4900,60,ESSEX,SOUTH ORANGE-MAPLEWOOD,98
Jefferson Elementary School,13,4900,90,ESSEX,SOUTH ORANGE-MAPLEWOOD,99
Marshall Elementary School,13,4900,100,ESSEX,SOUTH ORANGE-MAPLEWOOD,98
Seth Boyden Elementary Demonstration School,13,4900,130,ESSEX,SOUTH ORANGE-MAPLEWOOD,98
South Mountain Elementary/Annex,13,4900,140,ESSEX,SOUTH ORANGE-MAPLEWOOD,98
Tuscan Elementary,13,4900,150,ESSEX,SOUTH ORANGE-MAPLEWOOD,99
The Montrose Early Childhood Center,13,4900,300,ESSEX,SOUTH ORANGE-MAPLEWOOD,100
Verona High School,13,5370,50,ESSEX,VERONA BORO,95
Brookdale Avenue School,13,5370,70,ESSEX,VERONA BORO,94
Frederic N. Brown Elementary School,13,5370,80,ESSEX,VERONA BORO,95
Forest Avenue School,13,5370,90,ESSEX,VERONA BORO,95
Henry B. Whitehorne Middle School,13,5370,95,ESSEX,VERONA BORO,95
Laning Avenue School,13,5370,100,ESSEX,VERONA BORO,95
West Essex High School,13,5630,50,ESSEX,WEST ESSEX REGIONAL,98
West Essex Middle School,13,5630,70,ESSEX,WEST ESSEX REGIONAL,98
West Orange High School,13,5680,50,ESSEX,WEST ORANGE TOWN,98
EDISON MIDDLE SCHOOL,13,5680,70,ESSEX,WEST ORANGE TOWN,97
ROOSEVELT MIDDLE SCHOOL,13,5680,90,ESSEX,WEST ORANGE TOWN,98
GREGORY ELEMENTARY SCHOOL,13,5680,120,ESSEX,WEST ORANGE TOWN,98
HAZEL AVENUE ELEMENTARY SCHOOL,13,5680,130,ESSEX,WEST ORANGE TOWN,98
LIBERTY MIDDLE SCHOOL,13,5680,135,ESSEX,WEST ORANGE TOWN,97
MOUNT PLEASANT ELEMENTARY SCHOOL,13,5680,140,ESSEX,WEST ORANGE TOWN,98
PLEASANTDALE ELEMENTARY SCHOOL,13,5680,150,ESSEX,WEST ORANGE TOWN,97
REDWOOD ELEMENTARY SCHOOL,13,5680,160,ESSEX,WEST ORANGE TOWN,98
ST. CLOUD ELEMENTARY SCHOOL,13,5680,170,ESSEX,WEST ORANGE TOWN,98
WASHINGTON ELEMENTARY SCHOOL,13,5680,180,ESSEX,WEST ORANGE TOWN,97
CLAYTON HIGH SCHOOL,15,860,30,GLOUCESTER,CLAYTON BORO,92
HERMA S. SIMMONS ELEMENTARY SCHOOL,15,860,40,GLOUCESTER,CLAYTON BORO,95
CLAYTON MIDDLE SCHOOL,15,860,45,GLOUCESTER,CLAYTON BORO,93
Clearview Regional High School,15,870,20,GLOUCESTER,CLEARVIEW REGIONAL,97
Clearview Regional Middle School,15,870,30,GLOUCESTER,CLEARVIEW REGIONAL,97
Central Early Childhood Center,15,1100,30,GLOUCESTER,DEPTFORD TWP,97
Deptford Township High School,15,1100,40,GLOUCESTER,DEPTFORD TWP,97
Monongahela Middle School,15,1100,45,GLOUCESTER,DEPTFORD TWP,96
Good Intent Elementary School,15,1100,90,GLOUCESTER,DEPTFORD TWP,97
Lake Tract Elementary School,15,1100,105,GLOUCESTER,DEPTFORD TWP,97
New Sharon School,15,1100,110,GLOUCESTER,DEPTFORD TWP,97
Oak Valley Elementary School,15,1100,120,GLOUCESTER,DEPTFORD TWP,97
Pine Acres Early Childhood Center,15,1100,130,GLOUCESTER,DEPTFORD TWP,96
Shady Lane Elementary School,15,1100,140,GLOUCESTER,DEPTFORD TWP,96
Jeffrey Clark School,15,1180,20,GLOUCESTER,EAST GREENWICH TWP,98
Samuel Mickle School,15,1180,45,GLOUCESTER,EAST GREENWICH TWP,98
Aura Elementary School,15,1330,10,GLOUCESTER,ELK TWP,96
Caroline L. Reutter School,15,1590,70,GLOUCESTER,FRANKLIN TWP,98
Mary F. Janvier School,15,1590,80,GLOUCESTER,FRANKLIN TWP,97
Main Road School,15,1590,95,GLOUCESTER,FRANKLIN TWP,98
Gateway Regional High School,15,1715,50,GLOUCESTER,GATEWAY REGIONAL,97
Glassboro High School,15,1730,50,GLOUCESTER,GLASSBORO,98
Dorthy L. Bullock School,15,1730,65,GLOUCESTER,GLASSBORO,98
Glassboro Intermediate School,15,1730,78,GLOUCESTER,GLASSBORO,91
J. Harvey Rodgers School,15,1730,80,GLOUCESTER,GLASSBORO,93
Thomas E. Bowe School,15,1730,90,GLOUCESTER,GLASSBORO,91
Bankbridge Regional School,15,1774,15,GLOUCESTER,GLOUCESTER CO SPEC SERV,96
Gloucester County Institute of Technology,15,1775,10,GLOUCESTER,GLOUCESTER CO VOCATIONAL,97
Broad Street Elementary School,15,1830,50,GLOUCESTER,GREENWICH TWP,93
Nehaunsey Middle School,15,1830,60,GLOUCESTER,GREENWICH TWP,91
Harrison Township Elementary School,15,2070,50,GLOUCESTER,HARRISON TWP,95
Pleasant Valley School,15,2070,80,GLOUCESTER,HARRISON TWP,95
Kingsway Regional High School,15,2440,50,GLOUCESTER,KINGSWAY REGIONAL,99
Kingsway Regional Middle School,15,2440,60,GLOUCESTER,KINGSWAY REGIONAL,98
Center Square School,15,2750,25,GLOUCESTER,LOGAN TWP,97
Logan Township Elementary School,15,2750,40,GLOUCESTER,LOGAN TWP,98
Logan Middle School,15,2750,300,GLOUCESTER,LOGAN TWP,98
Centre City Elementary School,15,2990,30,GLOUCESTER,MANTUA TWP,93
J. Mason Tomlin Elementary School,15,2990,40,GLOUCESTER,MANTUA TWP,93
Sewell Elementary School,15,2990,50,GLOUCESTER,MANTUA TWP,92
WILLIAMSTOWN HIGH SCHOOL,15,3280,50,GLOUCESTER,MONROE TWP,93
HOLLY GLEN ELEMENTARY SCHOOL,15,3280,75,GLOUCESTER,MONROE TWP,93
OAK KNOLL ELEMENTARY SCHOOL,15,3280,90,GLOUCESTER,MONROE TWP,90
RADIX ELEMENTARY,15,3280,95,GLOUCESTER,MONROE TWP,91
WHITEHALL ELEMENTARY SCHOOL,15,3280,100,GLOUCESTER,MONROE TWP,92
Williamstown Middle School,15,3280,110,GLOUCESTER,MONROE TWP,91
National Park School,15,3490,50,GLOUCESTER,NATIONAL PARK BORO,97
Paulsboro High School,15,4020,50,GLOUCESTER,PAULSBORO BORO,98
Billingsport Elementary School,15,4020,60,GLOUCESTER,PAULSBORO BORO,94
Loudenslager Elementary School,15,4020,70,GLOUCESTER,PAULSBORO BORO,93
PAULSBORO JUNIOR HIGH SCHOOL,15,4020,300,GLOUCESTER,PAULSBORO BORO,92
PITMAN HIGH SCHOOL,15,4140,50,GLOUCESTER,PITMAN BORO,95
ELWOOD KINDLE ELEMENTARY SCHOOL,15,4140,60,GLOUCESTER,PITMAN BORO,96
MEMORIAL ELEMENTARY SCHOOL,15,4140,65,GLOUCESTER,PITMAN BORO,94
PITMAN MIDDLE SCHOOL,15,4140,75,GLOUCESTER,PITMAN BORO,93
W.C.K. WALLS ELEMENTARY SCHOOL,15,4140,80,GLOUCESTER,PITMAN BORO,95
SOUTH HARRISON TOWNSHIP ELEMENTARY SCHOOL,15,4880,50,GLOUCESTER,SOUTH HARRISON TWP,97
Delsea Regional High School,15,4940,50,GLOUCESTER,DELSEA REGIONAL H.S DIST.,97
Delsea Regional Middle School,15,4940,60,GLOUCESTER,DELSEA REGIONAL H.S DIST.,96
GOVERNOR CHARLES C STRATTON,15,5120,50,GLOUCESTER,SWEDESBORO-WOOLWICH,96
WALTER HILL SCHOOL,15,5120,60,GLOUCESTER,SWEDESBORO-WOOLWICH,98
MARGARET C CLIFFORD SCHOOL,15,5120,70,GLOUCESTER,SWEDESBORO-WOOLWICH,98
GENERAL CHARLES G. HARKER SCHOOL,15,5120,80,GLOUCESTER,SWEDESBORO-WOOLWICH,97
WASHINGTON TOWNSHIP HIGH SCHOOL,15,5500,10,GLOUCESTER,WASHINGTON TWP,95
BUNKER HILL MIDDLE SCHOOL,15,5500,20,GLOUCESTER,WASHINGTON TWP,94
BELLS ELEMENTARY SCHOOL,15,5500,25,GLOUCESTER,WASHINGTON TWP,96
CHESTNUT RIDGE MIDLE SCHOOL,15,5500,26,GLOUCESTER,WASHINGTON TWP,95
BIRCHES ELEMENTARY SCHOOL,15,5500,27,GLOUCESTER,WASHINGTON TWP,95
THOMAS HEFFERSON ELEMENTARY SCHOOL,15,5500,28,GLOUCESTER,WASHINGTON TWP,96
GRENLOCH TERRACE EARLY CHILDHOOD CENTER,15,5500,30,GLOUCESTER,WASHINGTON TWP,96
HURFFVILLE ELEMENTARY SCHOOL,15,5500,40,GLOUCESTER,WASHINGTON TWP,95
